sale_post_id,brand_id,model_id,version_id,title,description,price,year,odo,location,status
1,43,248,996,Subaru Forester 2.0i-L - 2024,"Xe chủ tịch xe người giàu, xe dẫn đoàn xưa mua 2,1tỷ giờ hiếm tại Vn. toyota camry SE full nhập Mỹ. 2012 chạy 7v miles. sơn zin nhiều, Dàn lốp Mítchelin dày, sơ cua chưa hạ, ghế da zin theo xe. Có sấy sưởi ghế, 2ghế điện, đề nổ thông minh, ga tự động, gảy số vô lăng. chủ người giàu từ mới. Lỗi tặng xe.
xem xe: Lục Nam - Bắc Giang #duchaoauto",718000000.0,2012,78000,"Khám Lạng - Lục Nam Bắc Giang 
														Website: duchaoauto.bonbanh.com",active
2,30,172,736,Mercedes Benz E class E200 - 2019,"AUTO CHỐT HÀ NỘI mới về chào bán ngay 

Nhập team Nguyên Xe Mộc Mercedes-Benz E200 Sản Xuất 2019 1 chủ từ đầu xe chạy 5vạn8 lên Mân maybach cực chất . Không 1 lỗi nhỏ Về chỉ rửa qua nước lã là đi khách . ACE TỰ TIN CỌC ONLINE 

ACE kết nối có khách cùng bán. Thank’s! 

Ở đâu giá tốt CHỐT đây sẽ tốt hơn. Giá rất linh động miễn sao vào việc trôi được xe.",1190000000.0,2019,58000,"VILLA 07 Lô C1 Khu đô thị Yên Hòa, Phường Yên Hòa, Quận Cầu Giấy ( Cạnh Công Viên Yên Hoà ) Hà Nội 
														Website: autochot.bonbanh.com",active
3,15,64,206,Ford Ranger XLS 2.0L 4x2 AT - 2023,"rẻ hơn xe mới hơn 100tr! ford ranger xls 2023 chạy 3vkm zin, sơn zin 91%, lốp theo xe 5quả, sơ cua chưa hạ. 1chủ từ mới. Máy 2.0turbo đi rất sướng. 
xem xe:- Lục Nam - Bắc Giang",638000000.0,2023,32000,"Khám Lạng - Lục Nam Bắc Giang 
														Website: duchaoauto.bonbanh.com",active
4,47,268,1055,Toyota Corolla altis 1.8G AT - 2019,"Sau 6năm sử dụng chạy 3vkm giá cả rất hợp lí. toyota corolla altis 2019 (1.8g) chạy 3,1vkm. Lốp theo xe 5quả, sơ cua chưa hạ, sơn zin 96%. 1chủ giữ gìn từ mới. Có cam hành trình, đề nổ thông minh, ga tự động, chế độ sport, ghế điện, điều hoà auto. Lỗi tặng xe.
Xem xe: Lục Nam - Bắc Giang",570000000.0,2019,31000,"Khám Lạng - Lục Nam Bắc Giang 
														Website: duchaoauto.bonbanh.com",active
5,24,121,479,Kia K3 Premium 2.0 AT - 2021,"siêu lướt tiết kiệm hơn 100tr so với mới. kia k3 2021 form mới (2.0Premium) chạy 1vkm. Cam kết km zin, sơn zin 98%, lốp theo xe 5quả, sơ cua chưa hạ. 1chủ từ mới. Đã có nhớ ghế 2vị trí, đề nổ thông minh từ xa, ga tự động, điều hoà 2vùng auto, gảy số vô lăng, sạc không dây, cửa sổ trời, sấy sưởi làm mát ghế, đèn auto, ghế điện. Lỗi tặng xe.
Xem xe: lục nam - bắc giang #duchaoauto",555000000.0,2021,18000,"Khám Lạng - Lục Nam Bắc Giang 
														Website: duchaoauto.bonbanh.com",active
6,47,292,1174,Toyota Vios 1.5G - 2018,"Toyota vios 2018 (1.5g) chạy 3vkm cam kết km zin. Sơn zin trên 92%, lốp theo xe dày. 1chủ từ mới. Đã lên màn hình androi, cam hành trình. Lỗi tặng xe.
Xem xe: Lục Nam - Bắc Giang",409000000.0,2018,31000,"Khám Lạng - Lục Nam Bắc Giang 
														Website: duchaoauto.bonbanh.com",active
7,24,118,456,Kia Carnival Signature 2.2D - 2024,"Xe Lướt Đời Cao
Kia Carnival bản Signature Máy Dầu 7 ghế model 2025 All New.
Xe tên tư nhân, còn thơm nguyên mùi mới.
Xe sẵn xem",1639000000.0,2024,10000,Cầu giấy Hà Nội,active
8,47,292,1174,Toyota Vios 1.5G - 2017,"7 năm chạy mỗi 3vkm hiếm nhất vn. Toyota Vios G 2017 chạy 3vkm zin. Sơn zin 93%, lốp theo xe cả dàn, sơ cua chưa hạ. 1chủ từ đầu. Đã lên gập gương điện, xihan tích hợp trên gương, chìa khoá Camry, cam hành trình, cảm biến lùi, đèn bi led. Lỗi tặng xe.
Xem xe: lục nam - bắc giang #duchaoauto",406000000.0,2017,35000,"Khám Lạng - Lục Nam Bắc Giang 
														Website: duchaoauto.bonbanh.com",active
9,29,166,708,Mazda CX8 Premium AWD - 2020,"- Bán xe Mazda CX8 Premium AWD 2020, số tự động 2.5L, 2 cầu 4x4, màu xanh cavansive.
- Odo 60.000 km, Full lịch sử bảo dưỡng hãng, 1 chủ từ đầu, biển số TP HCM 51H.
- Xe bản cao cấp nhất, trang bị full option các tính năng cao cấp nhất.
- Cam kết: không đâm đụng, không ngập nước, pháp lý sang tên chuẩn.
- Xem xe bao thầy thợ kiểm tra và test hãng toàn quốc, check test theo yêu cầu người mua.
- Xe zin nguyên bản từ nhà sản xuất, không lỗi nhỏ, số máy keo chỉ nguyên zin, gầm sáng đẹp.
- Hỗ trợ vay ngân hàng 60 – 70% giá trị xe.
- Hỗ trợ sang tên.
- Hỗ trợ giao xe toàn quốc.
- Bảo hành khi mua.
- Bên em bán có văn bản cam kết chất lượng xe.
- Có nhận giao lưu, trao đổi các dòng xe khác.",759000000.0,2020,60000,"TP. Thủ Đức TP HCM 
								 Xem gian hàng  ⇨",active
10,15,57,168,Ford Everest Titanium 2.0L 4x2 AT - 2020,"Chính chủ cần bán xe Ford everet 2020 dki lần đầu tháng 1/2021 . Xe đi rất ít và rất là giữ gìn . Xe của mình màu rât hợp với những người mệnh hoả và thổ, ai yêu thích dònh xe này thì liên hệ với mình để xem xe nhé . Xin cảm ơn mọi người đã đọc tin .",858000000.0,2020,0,"Phố Hạ Đình, quận Thanh Xuân Hà Nội",active
